question,answer
"Explain how to reverse a cash injection or payment from a portfolio cash account.","The system should allow the reversal of cash injected into a portfolio cash account by following these steps:, - Go to Financials >> Cash Menu >> Cash Payment Reverse., ""- Click the ... in front of the cash item ID#."", - Search and select the appropriate batch number to be reversed., - Click OK., ""- Click on Reverse."", ""- Click Yes to confirm the reversal."""
"Explain how to perform a portfolio valuation.","The system should be able to perform portfolio valuation by following these steps:, - Go to Mutual Fund >> EOD Daily Run., - Select the value date (valuation date)., - Select the portfolio from the mutual fund list., - Review the current valuation status listed., ""- Click Run."""
"Explain how the system performs interest accruals on running investments.","The system should be able to perform interest accruals on running investments. This process is automatically performed during portfolio valuation. To see how this is done, refer to the portfolio valuation steps."
"Outline the steps to generate reports for tracking investments, GL postings, and other financials.","The system should allow the user to generate reports to track investments, GL postings, and other financials by following these steps:, - Go to Reports >> BI., - Search and select the report., ""- Click Launch."""
"Detail the process for exporting reports from the system.","The system should allow the export of reports by following these steps:, - Go to Reports >> BI., - Search and select the report., ""- Click Launch."", - Load the report., ""- Click the Export button at the top icon line of the report and select the export format."", - Select the folder to save to, and input the file name., ""- Click Save."""
"Describe how to map products to their respective GLs based on the expected GL flow.","The system should be able to map products to their respective GLs by following these steps:, - Go to Asset Management Module., - Go to the Acct. Config menu., - Select the Product Asset Class and Product name from the dropdowns., - Input or search for the GL to be mapped to the respective accounts., ""- Click on Save."", Workflow:, • Liability Investment Approval: Debit Customer account, Credit Suspense Account., • Liability Placement Interest Accrual: Debit Profit and Loss (PnL), Credit Interest Payable., • Liability Placement Liquidation: Debit Suspense Account, Debit Interest Payable, Credit Customer Account., • Asset Placement Approval: Debit Suspense account, Credit Customer (Portfolio) account., • Asset Interest Accrual: Debit Interest Payable, Credit Profit and Loss (PnL)., • Asset Liquidation: Debit Customer (Portfolio) Account, Credit Suspense Account, Credit Interest Payable."
"Summarize the process to allow creation of Investment transactions.","Go to Asset Mgmt >> Investment >> New. Select the appropriate investment type. Expand the Deposit Details tab and input all details of the transaction. Click Save. Go to Asset Mgmt >> Placement >> Bulk Approve. Review and mark the check box behind the transaction. Click the 'Approve' button at the left bottom corner."
"Detail the steps for creating and editing a customer profile in the system.","The system should allow the user to create and edit customer profiles by following these steps: To Create a Customer Profile: - Go to Maintain Module >> Customer. - Input the customer details (Ensure the customer type is correct). ""- Save documents relevant for the customer under the Documents tab."", ""- Click on Save."", To Edit a Customer Profile:, ""- Use the Find button to search for the customer (or use the customer ID)."", - Update the necessary fields. ""- Click on Save."""
"Detail the process for setting up customer involvement.","Navigate to Maintain >>> Involvement Accounts. Select the Product from the drop-down menu. Use the button on the right to call up the Master account for the involvement. Click on Save. Navigate to Maintain >>> Involvement Accounts. Use the button on the right to create a new Product type. Input the Product Code and Description. Click on Save. Go back to the Involvement account form. Use the button on the right of the second field to call up the Master account for the involvement. Click on Save."
"Outline the process for creating account officers and assigning them to groups.","Navigate to Maintain Module >>> Officers. Input the account officer’s details and select userID if applicable. Click Save. Create Group under Acct Grp Creation. Assign account officers under Grp Assignment."
"Explain the requirements for setting up a mutual fund.","To set up a mutual fund, the following requirements must be met: The name of the fund. An agreed short code for referencing the fund. A full chart of accounts detailing the fund’s asset, liability (current and long-term/capital), income, and expense accounts. Opening balances for the fund per account as of a stated period. Startup offer price for subscribing to the fund. Asset classes to be invested in by the fund (Equities, bonds, real estate, Treasury bills, Fixed Deposit, etc.). Asset allocation per asset class. Breakdown of fees charged on the fund. List of subscribers to the fund. Holdings per subscriber in the fund. Schedule of assets owned by the fund along with the associated costs. Breakdown of equities owned by the fund (stock code, number of units per stock, and weighted average cost per stock). Breakdown of fixed deposits (principal, rate, tenure). Breakdown of treasury bills (discounted value, rate, yield, future value, and tenure). Breakdown of bond investments. Real estate listings and respective costs. Quantity on offer (applies to Closed-ended Fund only)."
"How could a customer credit portfolio units outstanding from the cash account?","Go to Mutual Fund >> Subscription. Select the value date, Click the ... in front of the Fund Name field., Search for and select the portfolio to be credited. Click OK, Input the customer cash account ID or click the ... in front of the Customer Name field., Search for and select the portfolio cash account to be debited. Input the amount to be injected into the portfolio in the Amount field, Select Buy as the transaction type., Click Save."
"Outline the steps a customer should follow to redeem units outstanding from the portfolio into the portfolio cash account.","Go to Mutual Fund >> Subscription. Select the value date, Click the ... in front of the Fund Name field. Search for and select the appropriate portfolio. Click OK, Input the customer cash account ID or click the ... in front of the Customer Name field., Search for and select the portfolio cash account to be credited. Input the amount to be debited into the portfolio in the Amount field, Select Sell as the transaction type., Click Save."
"Detail the steps a customer should follow to reverse transactions on portfolio unit outstanding.","Go to Mutual Fund >> Subscription. Click Find at the bottom of the form. Search for and select the appropriate transaction to be reversed. Click OK. Click Reverse."
"A customer wants to create a placement transaction. What is the process they should follow?","STEP A:, 1. Go to Asset Mgmt >> Placement >> New, 2. Select the appropriate investment type, 3. Expand the Deposit Details tab and input all details of the transaction, 4. Click Save, , STEP B:, 1. Go to Asset Mgmt >> Placement >> Bulk Approve, 2. Review and mark the check box behind the transaction, ""3. Click the Approve button at the left bottom corner."""
"Describe the process for editing a placement transaction that has not been approved.","Go to Asset Mgmt >> Placement >> New, Click Find at the bottom of the form, Search and select the appropriate transaction to be reviewed, Click OK, Adjust the details of the transaction, Click Save."
"Outline the process for reversing a placement transaction created on the system.","Go to Asset Mgmt >> Placement >> Reverse, Click Find at the bottom of the form, Search and select the appropriate transaction to be reviewed, Click OK, Click Reverse."
"Describe the process for liquidating a placement transaction.","Go to Asset Mgmt >> Placement >> Liquidation, Click Find at the bottom of the form, Search and select the appropriate transaction, Click OK, Expand the Liquidation Detail tab and review the liquidation information, Click Liquidate."
"A customer wants to edit a placement transaction that has not been approved. What is the process they should follow?","Navigate to Asset Mgmt >> Placement >> New, Click Find at the bottom of the form, Search for and select the transaction to be reviewed, Click OK, Make the necessary adjustments to the transaction details, Click Save."
"Could you explain how a customer would reverse a placement transaction created on the system?","Go to Asset Mgmt >> Placement >> Reverse, Click Find at the bottom of the form, Search and select the appropriate transaction to be reviewed, Click OK, Click Reverse."
"How could a customer liquidate a placement transaction?","Navigate to Asset Mgmt >> Placement >> Liquidation, Click Find at the bottom of the form, Search for and select the appropriate transaction, Click OK, Expand the Liquidation Detail tab and review the liquidation information, Click Liquidate."
"What are the steps to change a user password?","Go to Security >> Change Password, Input the new password, Re-enter the new password in the verify field, Click Save."
"When you need to segregate duties in the system, what steps should be followed?","Go to Security >> Assign Permission, Select users or groups, Click the ... next to the User/Group field, Search for and select the appropriate user or group, Click OK, Click Add, From the list of permissions, choose each one to be assigned to the user or group, Select the type of access from the available options, Click Add, Click OK, Click Save."
"Summarize the process to allow creation of Treasury Bill or Commercial Paper instruments.","Go to Asset Mgmt >> Treasury Bill PL/Treasury Bill Inv >> New Bill. Input the appropriate Treasury Bill/Commercial Paper details. Click Save."
"Describe the process to allow editing of a created Treasury Bill or Commercial Paper.","Go to Asset Mgmt >> Treasury Bill PL/Treasury Bill Inv >> New Bill. Click Find at the bottom of the form. Search and select the appropriate Treasury Bill/Commercial Paper to be reviewed. Click OK. Adjust the details. Click Save."
"Detail the process to allow creation of Treasury Bill/Commercial Paper transactions.","Go to Asset Mgmt >> Treasury Bill PL/Treasury Bill Inv >> Tbill Purchase. Click the '...' in front of Tbill Name. Search and select the appropriate Tbill/CP to be purchased from the list and click OK. Input purchase date, face value, and discount rate. Confirm discounted amount and yield. Click Buy. Select the appropriate investment type or select the accounts for managing the transactions. Expand the Deposit Details tab and confirm/adjust all details of the transaction. Click Save. Go to Asset Mgmt >> Treasury Bill PL/Tbill Inv >> Bulk Approve. Review and mark the check box behind the transaction. Click the 'Approve' button at the left bottom corner."
"Detail the process to allow editing of Treasury Bill/Commercial Paper transactions.","Go to Asset Mgmt >> Treasury Bill PL >> New Trans. Click Find at the bottom of the form. Search and select the appropriate transaction to be reviewed. Click OK. Adjust the details of the transaction. Click Save."
"Explain the process to allow reversal of Treasury Bill/Commercial Paper transactions.","Go to Asset Mgmt >> Treasury Bill PL >> Reverse. Click Find at the bottom of the form. Search and select the appropriate transaction to be reviewed. Click OK. Click Reverse."
"Illustrate the process to allow part selling of a Treasury Bill/Commercial Paper transaction.","Go to Asset Mgmt >> Treasury Bill PL >> Breakage. Click Find at the bottom of the form. Search and select the appropriate transaction. Click OK. Click the New button at the bottom of the form. Select breakage date (transaction date) within the Deposit Details tab. Expand the Breakage tab and input the sales details (discount rate, face value to be sold). Confirm sales value and other details. Click Save. Go to Asset Mgmt >> Treasury Bill PL >> Brkge Approve. Click Find at the bottom of the form. Search and select the appropriate transaction. Click OK. Review details of the transaction. Click Approve."
"Illustrate the process to allow updating of Treasury Bill/Commercial Paper price.","Go to Asset Mgmt >> Treasury Bill PL >> M2M Discount Rate. Select the price date. Input market price in the Price column for each of the Tbill/CP instruments. Click Save."
"A customer wants to upload the price of Treasury Bills or Commercial Papers. What steps should they follow?","Go to Asset Mgmt >> Treasury Bill PL >> M2M Discount Rate. Click the Discounted Rate Import button. Navigate to the price file using the displayed dialog box and click Open. Follow the prompt to import."
"When a customer wants to liquidate a Treasury Bill or Commercial Paper transaction, what is the process they should follow?","Go to Asset Mgmt >> Treasury Bill PL >> Liquidation. Click Find at the bottom of the form. Search and select the appropriate transaction. Click OK. Expand the Breakage Detail tab and review the liquidation details. Click Liquidate."
"Detail the process to allow creation of bond instruments.","STEP A: Go to Asset Mgmt >> Bond Menu >> Bond Creation., Input the appropriate Bond creation details., Click Save. STEP B: Go to Asset Mgmt >> Bond Menu >> Coupon Schedule., Click the '...' in front of Bond Name., Search and select the appropriate bond and click OK., Coupon schedule will be displayed., Click Save."
"Describe the process to allow editing of a created bond.","Go to Asset Mgmt >> Bond Menu >> Bond Creation. Click Find at the bottom of the form. Search and select the appropriate bond to be reviewed. Click OK. Adjust the details. Click Save. Note: If the bond coupon has been saved, bond details cannot be adjusted."
"Describe the process to allow creation of Bond transactions.","Go to Asset Mgmt >> Bond Menu/Bond Inv >> Bonds Purchase. Click the '...' in front of Bond Name. Search and select the appropriate bond to be purchased from the list and click OK. Select the issue date/last coupon date and settlement date. Input face value and clean price. Confirm other bond computations. Click Buy. Select the appropriate investment type or select the accounts for managing the transactions. Expand the Deposit Details tab and confirm/adjust all details of the transaction. Click Save. Go to Asset Mgmt >> Bond Menu/Bond Inv >> Bulk Approve. Review and mark the check box behind the transaction. Click the 'Approve' button at the left bottom corner."
"Explain the process to allow editing of Bond transactions.","Go to Asset Mgmt >> Bond Menu/Bond Inv >> New Trans. Click Find at the bottom of the form. Search and select the appropriate transaction to be reviewed. Click OK. Adjust the details of the transaction. Click Save."
"Explain the process to allow part selling of a Bond transaction.","Go to Asset Mgmt >> Bond Menu >> Breakage. Click Find at the bottom of the form. Search and select the appropriate transaction. Click OK. Click on the New button at the bottom of the form. Select the breakage date (transaction date) within the Deposit Details tab. Expand the Breakage tab and input the sales details (clean price, face value to be sold). Confirm sales value and other details. Click Save. Go to Asset Mgmt >> Bond Menu >> Brkge Approve. Click Find at the bottom of the form. Search and select the appropriate transaction. Click OK. Review details of the transaction. Click Approve."
"Outline the process to allow updating of Bond price.","Go to Asset Mgmt >> Bond Menu >> M2M Bond Price. Select the price date. Input market price in the Clean Price column for each of the bond instruments. Click Save."
"Outline the process to allow uploading of Bond price.","Go to Asset Mgmt >> Bond Menu >> M2M Bond Price. Click the Clean Price Import button. Navigate to the price file using the displayed dialog box and click Open. Follow the prompt to import."
"Summarize the process to allow liquidation of a Bond transaction.","Go to Asset Mgmt >> Bond Menu/Bond Inv Menu >> Liquidation. Click Find at the bottom of the form. Search and select the appropriate transaction. Click OK. Expand the Liquidation Detail tab and review the liquidation details. Click Liquidate."
